id_,university_name
71,Algoma University
49,University of Toronto
92,University of Calgary
1,Memorial University of Newfoundland
2,University of Prince Edward Island
3,Acadia University
4,Acadia Divinity College
5,Atlantic School of Theology
7,Dalhousie University
8,University of King's College
9,Mount Saint Vincent University
10,Nova Scotia College of Art and Design University
11,Université Sainte-Anne
12,St. Francis Xavier University
13,Saint Mary's University
14,Mount Allison University
15,University of New Brunswick
16,Université de Moncton
17,St. Thomas University
19,McGill University
20,Université de Montréal
21,Polytechnique Montréal
22,École des hautes études commerciales
23,Université Laval
24,Université de Sherbrooke
25,Concordia University
26,Université du Québec à Chicoutimi
27,Université du Québec à Montréal
28,Université du Québec en Abitibi-Témiscamingue
29,Université du Québec à Trois-Rivières
30,Université du Québec en Outaouais
31,"Université du Québec, École nationale d'administration publique (ENAP)"
32,"Université du Québec, Institut national de la recherche scientifique"
33,Université du Québec à Rimouski
34,École de technologie supérieure
35,"Université du Québec, Télé-université du Québec (TÉLUQ)"
37,Concordia Lutheran Theological Seminary
38,Carleton University
39,Dominican University College/Collège Universitaire Dominicain
41,Lakehead University
42,Laurentian University of Sudbury/Université Laurentienne de Sudbury
43,McMaster University
44,Nipissing University
45,University of Ottawa
46,Saint Paul University
47,Queen's University
48,Ryerson University
50,St. Augustine's Seminary
51,University of St. Michael's College
52,University of Trinity College
53,Victoria University
54,Knox College
55,Wycliffe College
56,Regis College
57,Trent University
59,St. Jerome's University
60,Renison University College
61,Conrad Grebel University College
62,Western University
63,Brescia University College
64,Huron University College
65,King's College
66,Wilfrid Laurier University
67,University of Windsor
68,York University
69,Ontario College of Art and Design University
70,University of Ontario Institute of Technology
72,University of Sudbury
73,Université de Hearst
74,Huntington University
75,Thorneloe University
77,Canadian Mennonite University
78,University of Manitoba
79,Université de Saint-Boniface
80,University of Winnipeg
81,University of Regina
82,Campion College
83,Luther College
84,University of Saskatchewan
85,College of Emmanuel and St. Chad
86,Lutheran Theological Seminary
87,St. Andrew's College
88,St. Thomas More College
89,Horizon College & Seminary
90,University of Alberta
93,Burman University
94,Concordia University of Edmonton
95,University of Lethbridge
96,The King's University College
97,Ambrose University
98,MacEwan University
99,Mount Royal University
100,The University of British Columbia
101,University of Northern British Columbia
102,Royal Roads University
104,University of Victoria
105,Thompson Rivers University
107,Vancouver Island University
108,Emily Carr University of Art and Design
109,Kwantlen Polytechnic University
110,University of the Fraser Valley
111,Yukon University
6,Cape Breton University
18,Bishop's University
36,Brock University
40,University of Guelph
58,University of Waterloo
76,Brandon University
91,Athabasca University
103,Simon Fraser University
106,Capilano University
