university_name,id_,rank,qs_uni_link
University of Toronto,49,21,https://www.topuniversities.com/universities/university-toronto
University of Calgary,92,182,https://www.topuniversities.com/universities/university-calgary
Memorial University of Newfoundland,1,641-650,https://www.topuniversities.com/universities/memorial-university-newfoundland
Dalhousie University,7,298,https://www.topuniversities.com/universities/dalhousie-university
University of New Brunswick,15,711-720,https://www.topuniversities.com/universities/university-new-brunswick
McGill University,19,30,https://www.topuniversities.com/universities/mcgill-university
Université de Montréal,20,=141,https://www.topuniversities.com/universities/universite-de-montreal
Concordia University,25,=387,https://www.topuniversities.com/universities/concordia-university
Carleton University,38,671-680,https://www.topuniversities.com/universities/carleton-university
University of Ottawa,45,=203,https://www.topuniversities.com/universities/university-ottawa
Victoria University,53,711-720,https://www.topuniversities.com/universities/victoria-university
Western University,62,114,https://www.topuniversities.com/universities/western-university
University of Windsor,67,641-650,https://www.topuniversities.com/universities/university-windsor
York University,68,353,https://www.topuniversities.com/universities/york-university
University of Manitoba,78,671-680,https://www.topuniversities.com/universities/university-manitoba
University of Regina,81,1001-1200,https://www.topuniversities.com/universities/university-regina
University of Saskatchewan,84,=345,https://www.topuniversities.com/universities/university-saskatchewan
University of Alberta,90,111,https://www.topuniversities.com/universities/university-alberta
University of Northern British Columbia,101,781-790,https://www.topuniversities.com/universities/university-northern-british-columbia
Vancouver Island University,107,1001-1200,https://www.topuniversities.com/universities/vancouver-island-university
Brock University,36,1201-1400,https://www.topuniversities.com/universities/brock-university
University of Waterloo,58,112,https://www.topuniversities.com/universities/university-waterloo
Simon Fraser University,103,318,https://www.topuniversities.com/universities/simon-fraser-university
